Country,p1,p2,p3,mu1,mu2,mu3,sig1,sig2,sig3
HKG_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
ISR_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
MYS_E,0.4026922308430725,0.443637729490818,0.15367003966610948,0.009727989730328922,-0.0033201760194819124,-0.015909677099750035,0.0037255542284409986,0.0015959193236239502,0.0015959193236239502
POL_E,0.4054884712025483,0.4489721677307632,0.14553936106668852,0.009632475436441456,-0.0035912321621917767,-0.015756077844559378,0.002736514345041748,0.002549395774137693,0.002549395774137693
SVK_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
URY_E,0.41559678044358495,0.42117179431264956,0.16323142524376544,0.006862830602056455,-0.0007072528054565519,-0.015657117740534913,0.0017058803508992223,0.0013068166076152827,0.0013068166076152827
BEL_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
CHN_E,0.22105958789161917,0.2978617854609159,0.4810786266474649,0.01807988991328946,-6.186287659363546e-05,-0.008263238491576971,0.003402822132189273,0.020888082724769344,0.020888082724769344
ESP_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
HUN_E,0.39803851450070854,0.43973417587661867,0.16222730962267273,0.004204813707958589,0.001905033813739607,-0.015477510084916955,0.0008562648178824499,1.000009793277466e-08,1.000009793277466e-08
ITA_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
NAM_E,0.3964948615506251,0.44041785568128344,0.16308728276809148,-0.00041300934018731635,0.006060287856064962,-0.015366409474776507,0.0006197639826654713,0.0018245145972493517,0.0018245145972493517
PRT_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
SVN_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
USA_E,0.398920029759684,0.4410999235928944,0.1599800466474216,0.007969620391030089,-0.0015754753742715402,-0.015526686753865747,0.001150120976042108,0.0018114971684177615,0.0018114971684177615
BGR_E,0.4028194562610222,0.44851977637462326,0.14866076736435452,0.011565160228165287,-0.00497205451707439,-0.016336838398993515,1.1023756497868425e-08,0.0016565860048726715,0.0016565860048726715
