"cc","autocorr_coef","mean","stdev","skewness","kurtosis","mean_ar","var_ar","skewness_ar","kurtosis_ar","pop"
"ITA_R",0.533714032289585,-4.15807038158073e-19,0.00963197984580857,-0.571846910595678,4.42818248877239,-0.00021081002329662,0.00012397683768688,-0.440571198899149,3.86933747636235,5275.425695
"NAM_R",0.535517261587633,-3.85672764322704e-19,0.00963963396308465,-0.572202895154358,4.42068443653965,0.000213397978349447,0.000126911002368379,-0.426509648469184,3.81845954573328,5333.48124
"PRT_R",0.534821229083838,-8.69328577204909e-19,0.00963683975549369,-0.570594092622278,4.41975520141705,0.000168582431238099,0.000125910043324708,-0.341543248370739,3.85810729662291,5325.749583
"SVN_R",0.651948210488786,1.41045342208472e-19,0.00715781546506007,-1.3836434916704,8.73512332029458,0.000237365776852127,8.66981995306365e-05,-0.898134961833647,5.42339637064865,5333.897116
"USA_R",0.525497316361514,-4.54770553731771e-19,0.00959403633318998,-0.571106337903505,4.4388418131307,8.90165034921214e-06,0.000124414679411523,-0.421541660277512,3.91345727848964,5006.910853
"BGR_R",0.531348249362751,7.88889160197014e-21,0.00998690250616393,-0.5860489332397,4.72610311525137,5.25373633592608e-05,0.000136496788466881,-0.449874376282115,3.94894097498472,5328.975651
"COL_R",0.5349297333438,-5.29223314146361e-19,0.00963610781588992,-0.571822655082582,4.4211475032093,0.000144797033661567,0.000121450197866325,-0.406646564611443,3.91069285275987,5285.636327
"EST_R",0.651926360471769,-1.36770697122965e-19,0.00715757863771746,-1.38372212599487,8.73631631583434,5.84010026646396e-05,9.02474093827288e-05,-0.875356082481763,5.42903849337567,5334.650122
"IDN_R",0.530404655051118,-3.12878178576044e-19,0.00961792887591213,-0.564821056315133,4.4309094588646,-0.000284823617701203,0.000121355755820364,-0.440473011601091,3.83768572626142,5065.350202
"JPN_R",0.531889969424317,-4.31347939266595e-19,0.00962397823264973,-0.564864632651164,4.42888111202914,0.000219784550000369,0.000127405409779931,-0.403203497817847,3.90853337104595,5209.115469
"NLD_R",0.535141306771388,-4.61676025725488e-19,0.00963782197524386,-0.572082149585388,4.4221216253914,-6.89103068975332e-05,0.000127503307849477,-0.454460280352075,3.86474722570896,5318.87864
