"year","cc","dlgdp_pc","disaster","recession","normal","expansion","boom"
1997,"BGR",-0.13355243543473,-0.13355243543473,NA,NA,NA,NA
1998,"BGR",0.0523548663951638,NA,NA,NA,0.0523548663951638,NA
1999,"BGR",-0.0747748713949589,NA,-0.0747748713949589,NA,NA,NA
2000,"BGR",0.0568668731435431,NA,NA,NA,0.0568668731435431,NA
2001,"BGR",0.0469751456994925,NA,NA,0.0469751456994925,NA,NA
2002,"BGR",0.0682142263660332,NA,NA,NA,0.0682142263660332,NA
2003,"BGR",0.059861834854565,NA,NA,NA,0.059861834854565,NA
2004,"BGR",0.0726205781907063,NA,NA,NA,0.0726205781907063,NA
2005,"BGR",0.0795739375869515,NA,NA,NA,0.0795739375869515,NA
2006,"BGR",0.0758524298359617,NA,NA,NA,0.0758524298359617,NA
2007,"BGR",0.0732129801628822,NA,NA,NA,0.0732129801628822,NA
2008,"BGR",0.0682715684799253,NA,NA,NA,0.0682715684799253,NA
2009,"BGR",-0.0277012635697841,NA,NA,-0.0277012635697841,NA,NA
2010,"BGR",0.0122683652680973,NA,NA,0.0122683652680973,NA,NA
2011,"BGR",0.0299403415254527,NA,NA,0.0299403415254527,NA,NA
2012,"BGR",0.00971539950312228,NA,NA,0.00971539950312228,NA,NA
2013,"BGR",0.00923035706184416,NA,NA,0.00923035706184416,NA,NA
2014,"BGR",0.0251948435999618,NA,NA,0.0251948435999618,NA,NA
2015,"BGR",0.0465257409343101,NA,NA,0.0465257409343101,NA,NA
2016,"BGR",0.0450526546318579,NA,NA,0.0450526546318579,NA,NA
2017,"BGR",0.0422814728134686,NA,NA,0.0422814728134686,NA,NA
2018,"BGR",0.0382729043241785,NA,NA,0.0382729043241785,NA,NA
2019,"BGR",0.0413193446203779,NA,NA,0.0413193446203779,NA,NA
1960,"BOL",NA,NA,NA,NA,NA,NA
1961,"BOL",-0.0043784806884597,NA,NA,-0.0043784806884597,NA,NA
1962,"BOL",0.0390495452541972,NA,NA,NA,0.0390495452541972,NA
1963,"BOL",0.0429210937625695,NA,NA,NA,0.0429210937625695,NA
1964,"BOL",0.0238702016101133,NA,NA,0.0238702016101133,NA,NA
1965,"BOL",0.0218337484521578,NA,NA,0.0218337484521578,NA,NA
1966,"BOL",0.0451538510184173,NA,NA,NA,0.0451538510184173,NA
1967,"BOL",0.0557867134359664,NA,NA,NA,0.0557867134359664,NA
1968,"BOL",-0.156324507199348,-0.156324507199348,NA,NA,NA,NA
